subject_id,understood,age,gender,feedback,comments
48b6807c-c1d9-48bd-936a-048dfffc21d9,yes,46,male,Everything was fine and clear.,I really enjoyed the study.
ce94f3ec-4356-4c62-bee5-7236cf5ea4eb,yes,32,male,none,
1b132b15-87db-4ce9-bd83-65a40f299cc2,yes,57,female,,It was fun!
2f51c0d2-fd62-48f0-a17a-85cc62a893b3,yes,40,female,Maybe have questions in between the phases but other than that everything worked well ,
a1982018-9253-4f44-b5f5-37068a6c6a83,yes,22,male,,
79b60e42-2e99-45ce-b6c8-6b327bcfdc68,yes,26,female,everything was good,
678a4880-fc47-47f3-8517-1a61dcc5a4c4,yes,28,male,,
9057b5a3-48e7-42a9-92f1-00ed4c403b96,yes,30,male,No problems ,"No, thanks "
f9c35be5-a8ff-4c82-978f-a37279883ed3,yes,39,female,The game was very interesting and innovative.,I do not have any comments or suggestions.
6d0a464e-f41d-4f3d-aa41-546025caa01a,yes,26,male,,
