subject_id,item_id,counterbalance,condition,audience_group,tangram,shared,response.earlier
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one social,red,C,shared,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,either refer,blue,B,shared,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one social,blue,L,shared,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one refer,blue,L,shared,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one refer,red,H,unique,earlier
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one social,red,B,shared,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,either refer,blue,D,unique,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one social,blue,A,unique,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one refer,red,B,shared,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,either refer,red,A,unique,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one social,blue,D,unique,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one social,red,A,unique,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one social,blue,B,shared,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one refer,red,C,shared,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one refer,blue,A,unique,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,either refer,blue,C,shared,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one refer,red,L,shared,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,either refer,red,D,unique,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one social,blue,C,shared,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one refer,red,A,unique,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one refer,blue,C,shared,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,either refer,red,C,shared,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one refer,blue,B,shared,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one social,red,D,unique,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one refer,blue,H,unique,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,either refer,red,H,unique,earlier
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,either refer,blue,A,unique,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one refer,red,D,unique,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one refer,blue,D,unique,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,either refer,blue,L,shared,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one social,red,H,unique,earlier
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,either refer,red,L,shared,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one social,blue,H,unique,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,one social,red,L,shared,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,either refer,blue,H,unique,later
dd2c8d9a-acab-46b0-a2d6-58e7c914ac4e,0,a,either refer,red,B,shared,later
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,either refer,blue,A,shared,later
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,either refer,red,C,unique,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one social,red,C,unique,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one refer,blue,A,shared,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one social,red,L,unique,later
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one refer,red,B,unique,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,either refer,blue,L,unique,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one refer,red,C,unique,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one refer,blue,L,unique,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,either refer,blue,H,shared,later
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,either refer,red,H,shared,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,either refer,blue,D,shared,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,either refer,red,A,shared,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one refer,blue,D,shared,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one social,red,H,shared,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one social,red,B,unique,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,either refer,red,L,unique,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one refer,blue,B,unique,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one social,blue,A,shared,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one refer,blue,H,shared,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one social,blue,C,unique,later
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,either refer,blue,C,unique,later
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,either refer,red,D,shared,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one refer,blue,C,unique,later
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one social,red,A,shared,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one social,blue,H,shared,later
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one social,blue,L,unique,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one refer,red,L,unique,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one refer,red,D,shared,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,either refer,blue,B,unique,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one social,blue,D,shared,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one refer,red,A,shared,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,either refer,red,B,unique,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one refer,red,H,shared,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one social,red,D,shared,earlier
d0ad0ce4-21d8-4ca1-b675-5edbe8e0376c,0,b,one social,blue,B,unique,earlier
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one refer,blue,A,unique,earlier
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one refer,blue,D,unique,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one refer,blue,B,shared,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one social,red,C,shared,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one social,red,H,unique,earlier
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,either refer,blue,C,shared,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one refer,blue,C,shared,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one refer,red,B,shared,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one social,red,D,unique,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one refer,red,L,shared,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,either refer,red,B,shared,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,either refer,blue,B,shared,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,either refer,red,C,shared,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,either refer,red,L,shared,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,either refer,blue,A,unique,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,either refer,blue,D,unique,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one refer,red,A,unique,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one social,blue,C,shared,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,either refer,blue,H,unique,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one refer,red,C,shared,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,either refer,red,A,unique,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one refer,blue,H,unique,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one social,blue,L,shared,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,either refer,blue,L,shared,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one social,blue,H,unique,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,either refer,red,D,unique,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one social,blue,B,shared,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one social,red,A,unique,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,either refer,red,H,unique,earlier
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one refer,red,D,unique,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one social,red,L,shared,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one social,blue,A,unique,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one social,blue,D,unique,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one refer,red,H,unique,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one refer,blue,L,shared,later
72e751e5-081c-4550-bfcf-10f32f067bd1,0,a,one social,red,B,shared,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,either refer,blue,H,unique,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one refer,red,B,shared,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one refer,blue,H,unique,earlier
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one refer,blue,D,unique,earlier
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one social,blue,H,unique,earlier
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one social,blue,L,shared,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one refer,red,A,unique,earlier
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one social,red,A,unique,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one refer,blue,B,shared,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one refer,red,C,shared,earlier
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,either refer,blue,C,shared,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one social,red,H,unique,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one refer,red,H,unique,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,either refer,red,B,shared,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one social,red,B,shared,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one refer,blue,C,shared,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one refer,blue,A,unique,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,either refer,blue,A,unique,earlier
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,either refer,red,L,shared,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,either refer,red,C,shared,earlier
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one refer,red,L,shared,earlier
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,either refer,blue,L,shared,earlier
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one social,red,D,unique,earlier
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,either refer,blue,B,shared,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,either refer,red,D,unique,earlier
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one social,blue,B,shared,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one social,blue,C,shared,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one social,blue,D,unique,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,either refer,blue,D,unique,earlier
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one social,red,C,shared,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,either refer,red,H,unique,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one social,red,L,shared,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one refer,red,D,unique,earlier
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one social,blue,A,unique,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,one refer,blue,L,shared,later
8b962de8-f0d9-4e15-8def-14d5aec73270,0,a,either refer,red,A,unique,earlier
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,either refer,blue,A,shared,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one social,red,C,unique,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one refer,red,L,unique,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,either refer,blue,L,unique,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one social,blue,L,unique,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one social,blue,C,unique,earlier
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one refer,blue,C,unique,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,either refer,blue,B,unique,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one social,red,A,shared,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one social,blue,D,shared,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one refer,red,H,shared,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one social,red,L,unique,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,either refer,red,L,unique,earlier
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,either refer,red,D,shared,earlier
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,either refer,blue,D,shared,earlier
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,either refer,red,H,shared,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one refer,blue,D,shared,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,either refer,red,B,unique,earlier
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one refer,red,D,shared,earlier
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one social,red,D,shared,earlier
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one refer,blue,L,unique,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one refer,red,B,unique,earlier
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one social,red,H,shared,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,either refer,red,C,unique,earlier
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one refer,blue,B,unique,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,either refer,red,A,shared,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one social,blue,B,unique,earlier
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one refer,blue,H,shared,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one social,blue,H,shared,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one refer,blue,A,shared,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one refer,red,C,unique,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,either refer,blue,H,shared,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one social,blue,A,shared,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,either refer,blue,C,unique,earlier
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one refer,red,A,shared,later
be90a10e-60fc-46cd-8998-5e7af6aef5d7,0,b,one social,red,B,unique,earlier
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,either refer,blue,A,shared,earlier
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one social,blue,C,unique,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,either refer,red,D,shared,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,either refer,red,A,shared,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one social,red,H,shared,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one refer,blue,D,shared,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one social,red,C,unique,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one refer,blue,B,unique,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one refer,blue,A,shared,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one refer,red,H,shared,earlier
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one social,red,B,unique,earlier
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one social,blue,D,shared,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one refer,red,B,unique,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one refer,red,C,unique,earlier
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,either refer,red,L,unique,earlier
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one social,blue,L,unique,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one refer,red,L,unique,earlier
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,either refer,red,B,unique,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one social,red,L,unique,earlier
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one refer,red,A,shared,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one social,blue,B,unique,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one social,blue,A,shared,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one social,red,D,shared,earlier
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,either refer,red,H,shared,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,either refer,red,C,unique,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,either refer,blue,B,unique,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,either refer,blue,H,shared,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,either refer,blue,D,shared,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,either refer,blue,L,unique,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one refer,red,D,shared,earlier
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one refer,blue,L,unique,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one social,red,A,shared,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one refer,blue,C,unique,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,either refer,blue,C,unique,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one social,blue,H,shared,later
b04ed365-d9e5-4feb-85c6-0ce1879bb633,0,b,one refer,blue,H,shared,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one refer,red,A,shared,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,either refer,blue,H,shared,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one social,blue,L,unique,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,either refer,red,A,shared,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one refer,red,L,unique,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one social,red,L,unique,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one social,red,D,shared,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one social,red,H,shared,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one refer,blue,C,unique,earlier
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one social,blue,H,shared,later
280bc3fa-25b7-4511-9b14-370c7f6618bf,0,b,one refer,red,C,unique,later
