subject_id,understood,age,gender,feedback,comments
b9017a50-646e-4ad1-b605-9f7c965bd60c,yes,46,male,Everything was fine and clear.,I really enjoyed the study.
6591408c-effb-4dde-8f1c-bfa7d00a5d85,yes,32,male,none,
4b6b4e45-110e-4015-af4e-b990f0a64d99,yes,57,female,,It was fun!
3009109b-7a31-4b37-96c0-473147b2039d,yes,40,female,Maybe have questions in between the phases but other than that everything worked well ,
ccb9487b-9c1a-4dc5-a49d-28845732d723,yes,22,male,,
95495c85-0749-413f-ad0f-d9176f341daa,yes,26,female,everything was good,
d7decf7d-8ea7-4d59-92e0-0c452546108a,yes,28,male,,
3961e8c3-65c0-49c3-890c-d7c067281627,yes,30,male,No problems ,"No, thanks "
704b957d-fbe1-4781-888b-b557b58ff54b,yes,39,female,The game was very interesting and innovative.,I do not have any comments or suggestions.
1ea6143c-edbd-4f0d-bdd1-7885732592c9,yes,26,male,,
