subject_id,item_id,type,goal,audience,audience_group,option1.tangram,option1.shared,option1.group,option1.label,option2.tangram,option2.shared,option2.group,option2.label,response.tangram,response.shared,response.group,response.label,understood
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,social,one,red,B,shared,red,mouse,D,unique,red,priest,B,shared,red,mouse,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,social,one,red,L,shared,red,zigzag,H,unique,red,baby,H,unique,red,baby,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,one,blue,B,shared,blue,mouse,A,unique,blue,zombie,A,unique,blue,zombie,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,both,,C,shared,red,falling guy,D,unique,red,priest,C,shared,red,falling guy,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,same,refer,one,blue,B,shared,,mouse,B,,unseen,princess dance,B,,unseen,princess dance,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,same,refer,one,blue,L,shared,,zigzag,L,,unseen,bent knees,L,shared,,zigzag,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,both,,B,shared,red,mouse,H,unique,red,baby,H,unique,red,baby,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,both,,C,shared,blue,falling guy,A,unique,blue,zombie,C,shared,blue,falling guy,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,both,,L,shared,blue,zigzag,D,unique,blue,long sleeved book,L,shared,blue,zigzag,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,same,refer,both,,C,shared,,falling guy,C,,unseen,no legs,C,shared,,falling guy,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,social,one,red,C,shared,red,falling guy,D,unique,red,priest,D,unique,red,priest,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,both,,L,shared,red,zigzag,D,unique,red,priest,L,shared,red,zigzag,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,same,refer,both,,B,shared,,mouse,B,,unseen,princess dance,B,,unseen,princess dance,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,one,red,C,shared,red,falling guy,D,unique,red,priest,D,unique,red,priest,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,social,one,blue,B,shared,blue,mouse,H,unique,blue,no arms,H,unique,blue,no arms,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,both,,C,shared,blue,falling guy,H,unique,blue,no arms,C,shared,blue,falling guy,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,one,red,B,shared,red,mouse,A,unique,red,thriller,A,unique,red,thriller,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,social,one,blue,L,shared,blue,zigzag,H,unique,blue,no arms,L,shared,blue,zigzag,yes
