subject_id,item_id,counterbalance,type,goal,audience,audience_group,option1.tangram,option1.shared,option1.group,option1.label,option2.tangram,option2.shared,option2.group,option2.label,response.tangram,response.shared,response.group,response.label,understood
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,social,one,red,H,shared,red,baby,L,unique,red,zigzag,L,unique,red,zigzag,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,one,red,D,shared,red,priest,L,unique,red,zigzag,L,unique,red,zigzag,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,one,blue,A,shared,blue,thriller,L,unique,blue,bent knees,A,shared,blue,thriller,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,either,,A,shared,red,thriller,B,unique,red,mouse,A,shared,red,thriller,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,social,one,red,A,shared,red,thriller,L,unique,red,zigzag,L,unique,red,zigzag,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,one,red,H,shared,red,baby,B,unique,red,mouse,H,shared,red,baby,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,one,red,D,shared,red,priest,B,unique,red,mouse,D,shared,red,priest,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,either,,A,shared,red,thriller,L,unique,red,zigzag,A,shared,red,thriller,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,one,blue,A,shared,blue,thriller,B,unique,blue,princess dance,B,unique,blue,princess dance,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,either,,H,shared,red,baby,C,unique,red,falling guy,H,shared,red,baby,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,either,,D,shared,blue,priest,C,unique,blue,no legs,D,shared,blue,priest,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,one,blue,D,shared,blue,priest,L,unique,blue,bent knees,L,unique,blue,bent knees,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,social,one,blue,D,shared,blue,priest,B,unique,blue,princess dance,B,unique,blue,princess dance,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,one,red,H,shared,red,baby,L,unique,red,zigzag,H,shared,red,baby,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,social,one,blue,D,shared,blue,priest,L,unique,blue,bent knees,L,unique,blue,bent knees,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,one,blue,H,shared,blue,baby,C,unique,blue,no legs,H,shared,blue,baby,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,either,,H,shared,red,baby,B,unique,red,mouse,H,shared,red,baby,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,one,red,A,shared,red,thriller,C,unique,red,falling guy,A,shared,red,thriller,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,either,,D,shared,red,priest,C,unique,red,falling guy,D,shared,red,priest,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,same,refer,either,,D,shared,blue,priest,D,,unseen,long sleeved book,D,shared,blue,priest,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,same,refer,one,blue,H,shared,blue,baby,H,,unseen,no arms,H,shared,blue,baby,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,same,social,one,blue,L,unique,red,zigzag,L,unique,blue,bent knees,L,unique,blue,bent knees,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,social,one,blue,H,shared,blue,baby,L,unique,blue,bent knees,L,unique,blue,bent knees,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,same,refer,either,,H,shared,blue,baby,H,,unseen,no arms,H,shared,blue,baby,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,one,blue,A,shared,blue,thriller,C,unique,blue,no legs,A,shared,blue,thriller,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,either,,H,shared,red,baby,L,unique,red,zigzag,H,shared,red,baby,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,one,red,D,shared,red,priest,C,unique,red,falling guy,C,unique,red,falling guy,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,either,,H,shared,blue,baby,C,unique,blue,no legs,H,shared,blue,baby,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,one,red,A,shared,red,thriller,B,unique,red,mouse,A,shared,red,thriller,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,same,refer,one,red,A,shared,red,thriller,A,,unseen,zombie,A,shared,red,thriller,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,same,refer,either,,A,shared,blue,thriller,A,,unseen,zombie,A,shared,blue,thriller,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,social,one,red,H,shared,red,baby,C,unique,red,falling guy,C,unique,red,falling guy,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,social,one,blue,A,shared,blue,thriller,C,unique,blue,no legs,C,unique,blue,no legs,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,social,one,blue,D,shared,blue,priest,C,unique,blue,no legs,C,unique,blue,no legs,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,social,one,blue,A,shared,blue,thriller,L,unique,blue,bent knees,L,unique,blue,bent knees,yes
