subject_id,item_id,counterbalance,condition,audience_group,shared.tangram,unique.tangram,response.unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one social,red,H,L,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one refer,red,D,L,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one refer,blue,A,L,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,either refer,red,A,B,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one social,red,A,L,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one refer,red,H,B,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one refer,red,D,B,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,either refer,red,A,L,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one refer,blue,A,B,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,either refer,red,H,C,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,either refer,blue,D,C,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one refer,blue,D,L,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one social,blue,D,B,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one refer,red,H,L,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one social,blue,D,L,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one refer,blue,H,C,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,either refer,red,H,B,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one refer,red,A,C,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,either refer,red,D,C,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one social,blue,H,L,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one refer,blue,A,C,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,either refer,red,H,L,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one refer,red,D,C,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,either refer,blue,H,C,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one refer,red,A,B,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one social,red,H,C,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one social,blue,A,C,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one social,blue,D,C,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one social,blue,A,L,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one refer,blue,D,B,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one social,red,D,L,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one social,red,A,B,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one refer,blue,H,L,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,either refer,blue,D,B,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,either refer,blue,H,B,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one social,blue,H,B,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one social,blue,A,B,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,either refer,blue,H,L,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,either refer,blue,A,L,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,either refer,red,D,B,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one refer,blue,D,C,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,either refer,red,D,L,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one social,red,H,B,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one social,blue,H,C,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one refer,red,H,C,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one refer,blue,H,B,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,either refer,blue,A,B,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one social,red,A,C,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,either refer,red,A,C,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,either refer,blue,D,L,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one refer,red,A,L,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,either refer,blue,A,C,shared
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one social,red,D,B,unique
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,one social,red,D,C,unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,either refer,blue,B,H,unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one social,red,C,H,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,either refer,red,C,D,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one social,red,B,A,unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one refer,blue,B,D,unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,either refer,blue,L,A,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one refer,blue,C,A,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one refer,red,C,D,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,either refer,red,B,H,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,either refer,red,L,D,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one refer,blue,B,A,unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one social,blue,C,D,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,either refer,red,C,A,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one social,red,L,H,shared
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one refer,red,B,A,unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one refer,blue,B,H,unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one refer,red,B,D,unique
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,one refer,red,C,H,shared
