subject_id,item_id,counterbalance,n_ingroup,n_outgroup,goal,tangram,response.earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,1,8,social,D,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,0,16,refer,D,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,2,8,refer,A,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,4,1,social,C,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,1,4,refer,C,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,1,4,social,A,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,3,2,social,L,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,4,4,refer,A,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,2,0,refer,A,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,3,4,social,A,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,2,4,social,B,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,3,4,refer,C,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,2,0,refer,H,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,3,8,social,D,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,4,0,social,L,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,0,4,refer,L,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,1,8,refer,H,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,4,2,social,D,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,3,8,social,B,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,1,2,refer,H,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,2,2,social,C,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,4,16,refer,B,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,2,1,refer,H,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,4,8,refer,B,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,1,16,social,L,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,1,1,refer,B,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,2,2,refer,D,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,1,0,social,L,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,4,0,refer,C,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,2,4,social,H,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,0,4,social,B,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,4,16,refer,B,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,2,1,refer,C,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,4,1,social,A,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,4,8,social,H,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,0,2,social,L,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,0,8,refer,C,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,3,0,social,H,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,0,1,social,A,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,3,1,social,L,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,2,16,refer,C,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,4,0,social,C,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,4,2,refer,D,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,1,16,refer,D,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,4,0,social,L,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,2,16,social,H,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,3,16,social,L,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,1,2,social,B,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,0,1,refer,B,later
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,1,1,refer,A,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,4,4,social,D,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,0,8,refer,H,earlier
9badfe96-7e0d-48e4-8e3f-d12705794d67,0,a,1,0,social,D,later
