subject_id,item_id,counterbalance,trial_num,n_blue,n_naive,goal,previous_selection,selected_tangram,selected_tangram_group,selected_tangram_earlier_red,selected_tangram_earlier_blue,selected_tangram_later_red,selected_tangram_later_blue,written_label,sbert_cosine_earlier_blue,sbert_cosine_earlier_red,sbert_cosine_later_blue,sbert_cosine_later_red,utt_length
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,0,3,8,social,,C,shared,"square head balancing on a cornder, body is a rectangle on a lean, then two arms reaching up above the head",Looks like a man raising both hands into the air. It looks a bit like they are shrugging.,italian,shrug,Guy shrugs.,0.36524176597595215,0.21243897080421448,0.6629950404167175,0.09276425838470459,2
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,1,4,2,refer,C,A,shared,"a guy facing left with his head to the right over his back and a leg out to the left, his arms are level with his head and his head comes past the right side of his body by a bit","Similar to the karate kid movie, the crane kick, looks like they have dangly sleeves",thriller,crane kick,karate kick,0.40533608198165894,0.4010056257247925,0.3572970926761627,0.1486024111509323,2
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,2,3,8,refer,A,B,shared,"the head is on a flat surface with a triangle stuck to the side of the head, the head and neck look a bit like a pacman mouth","the person is kneeling with their hands streched out, not the one facing sideways, looks like their heels are up behind them, with a little triangle sticking up behind them",mouse,princess dance,princess dance,0.18808314204216003,0.14482063055038452,0.9999999403953552,0.05862414091825485,2
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,3,4,8,refer,B,D,shared,"someone facing left, their back is a straight line, sort of looks like they're holding a book open","this looks like a standing person with a triangle and square put together sticking out of the left side, and the bottom is flat and there's a small triangle at the bottom sticking out left too, like a guy with long sleeves looking at a book",priest,long sleeved book,priest,0.14102649688720703,0.1383826583623886,0.07485254108905792,0.9999999403953552,1
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,4,4,2,social,D,L,blue_specific,,"Mand Kneeling, praying. Not all the way to the ground though. Also looks like someone doing a squat. Knees bent",,squats,Guy facing the right praying.,0.6813011169433594,nan,0.2922685742378235,nan,5
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,5,4,16,social,L,H,red_specific,He is sitting down. Only one side of his knee is visible. His one knee is pointing to the RIGHT in the pic. His head is a classic diamond shape. No arms visible. No hands and no legs. No feet visible.,,the innocent one,,innocent one,nan,0.23055732250213623,nan,0.9525120258331299,2
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,6,1,16,social,H,I,blue_specific,,"the one that looks like a standing person with one leg on the ground and one sticking out to the right, and two triangles pointing left",,yoga guy,yoga,0.234767884016037,nan,0.863739013671875,nan,1
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,7,4,1,social,I,G,red_specific,"Its a lot of shapes. On the bottom is a parollelogram. It doesn't look like a person, top of it a square that's tilted to the left, top of it a square that's tilted to the left almost looks like it's falling off, triangle on the right also falling off",,horse,,Horse,nan,0.05462620407342911,nan,1.0,1
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,8,3,1,refer,G,E,red_specific,"sitting down, facing right, with the hat thing on its head",,crazy hat person,,sad bunny ears guy,nan,0.2841029763221741,nan,0.4399472773075104,4
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,9,1,2,refer,E,F,red_specific,"Person sitting down, facing the left, kind of like he's looking down, foot is facing left, knees kind of make a triangle shape",,sad,,sad guy facing left.,nan,0.4330461025238037,nan,0.621721088886261,4
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,10,4,8,social,F,K,blue_specific,,"its a diamond on a diamond with a triangle out to the right, there is a right angled triangle to the left, like a duck looking right with a diamond on top",,duck,duck,0.37305474281311035,nan,1.0,nan,1
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,11,2,1,social,K,J,blue_specific,,the image where there is it has a cube (i.e. the most cube-shaped body) for a body with a point sticking out pointing towards the right,,large cube,candle,0.1565805971622467,nan,0.13902647793293,nan,1
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,12,0,1,refer,J,E,red_specific,"sitting down, facing right, with the hat thing on its head",,crazy hat person,,sad bunny ears guy,nan,0.2841029763221741,nan,0.4399472773075104,4
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,13,2,4,refer,E,C,shared,"square head balancing on a cornder, body is a rectangle on a lean, then two arms reaching up above the head",Looks like a man raising both hands into the air. It looks a bit like they are shrugging.,italian,shrug,Guy shrugs,0.37605801224708557,0.22088049352169037,0.6821184158325195,0.1074390560388565,2
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,14,1,4,social,C,F,red_specific,"Person sitting down, facing the left, kind of like he's looking down, foot is facing left, knees kind of make a triangle shape",,sad,,sad guy,nan,0.27750617265701294,nan,0.7999447584152222,2
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,15,4,16,refer,F,J,blue_specific,,the image where there is it has a cube (i.e. the most cube-shaped body) for a body with a point sticking out pointing towards the right,,large cube,candle,0.1565805971622467,nan,0.13902647793293,nan,1
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,16,4,4,social,J,D,shared,"someone facing left, their back is a straight line, sort of looks like they're holding a book open","this looks like a standing person with a triangle and square put together sticking out of the left side, and the bottom is flat and there's a small triangle at the bottom sticking out left too, like a guy with long sleeves looking at a book",priest,long sleeved book,priest,0.14102649688720703,0.1383826583623886,0.07485254108905792,0.9999999403953552,1
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,17,4,1,refer,D,J,blue_specific,,the image where there is it has a cube (i.e. the most cube-shaped body) for a body with a point sticking out pointing towards the right,,large cube,candle,0.1565805971622467,nan,0.13902647793293,nan,1
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,18,0,8,refer,J,C,shared,"square head balancing on a cornder, body is a rectangle on a lean, then two arms reaching up above the head",Looks like a man raising both hands into the air. It looks a bit like they are shrugging.,italian,shrug,guy shrugging,0.4911535978317261,0.24307316541671753,0.7254238724708557,0.1212436780333519,2
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,19,2,2,social,C,A,shared,"a guy facing left with his head to the right over his back and a leg out to the left, his arms are level with his head and his head comes past the right side of his body by a bit","Similar to the karate kid movie, the crane kick, looks like they have dangly sleeves",thriller,crane kick,karate kid,0.4836816191673279,0.3145563006401062,0.2556644678115845,0.19061270356178284,2
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,20,1,1,social,A,B,shared,"the head is on a flat surface with a triangle stuck to the side of the head, the head and neck look a bit like a pacman mouth","the person is kneeling with their hands streched out, not the one facing sideways, looks like their heels are up behind them, with a little triangle sticking up behind them",mouse,princess dance,princess dance,0.18808314204216003,0.14482063055038452,0.9999999403953552,0.05862414091825485,2
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,21,1,16,refer,B,E,red_specific,"sitting down, facing right, with the hat thing on its head",,crazy hat person,,sad bunny ears guy,nan,0.2841029763221741,nan,0.4399472773075104,4
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,22,4,0,social,E,B,shared,"the head is on a flat surface with a triangle stuck to the side of the head, the head and neck look a bit like a pacman mouth","the person is kneeling with their hands streched out, not the one facing sideways, looks like their heels are up behind them, with a little triangle sticking up behind them",mouse,princess dance,Princess dance.,0.22687846422195435,0.17858539521694183,0.9730746150016785,0.05847100540995598,2
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,23,4,4,refer,B,H,red_specific,He is sitting down. Only one side of his knee is visible. His one knee is pointing to the RIGHT in the pic. His head is a classic diamond shape. No arms visible. No hands and no legs. No feet visible.,,the innocent one,,Baby wrapped in a blanket.,nan,0.08990080654621124,nan,0.12348166853189468,5
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,24,0,16,refer,H,E,red_specific,"sitting down, facing right, with the hat thing on its head",,crazy hat person,,"Sad bunny ears guy,",nan,0.29760587215423584,nan,0.4356392025947571,4
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,25,0,4,refer,E,C,shared,"square head balancing on a cornder, body is a rectangle on a lean, then two arms reaching up above the head",Looks like a man raising both hands into the air. It looks a bit like they are shrugging.,italian,shrug,Guy shrugging.,0.49610069394111633,0.2400381714105606,0.7117934226989746,0.10196152329444885,2
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,26,3,1,social,C,H,red_specific,He is sitting down. Only one side of his knee is visible. His one knee is pointing to the RIGHT in the pic. His head is a classic diamond shape. No arms visible. No hands and no legs. No feet visible.,,the innocent one,,Innocent one,nan,0.23055732250213623,nan,0.9525120258331299,2
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,27,3,0,refer,H,A,shared,"a guy facing left with his head to the right over his back and a leg out to the left, his arms are level with his head and his head comes past the right side of his body by a bit","Similar to the karate kid movie, the crane kick, looks like they have dangly sleeves",thriller,crane kick,looks like a guy skipping to the left.,0.274352490901947,0.6300755739212036,0.25269949436187744,0.03888960927724838,8
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,28,1,2,social,A,K,blue_specific,,"its a diamond on a diamond with a triangle out to the right, there is a right angled triangle to the left, like a duck looking right with a diamond on top",,duck,Woman with triangle praying to the right,0.17340874671936035,nan,-0.02490060217678547,nan,7
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,29,1,8,social,K,J,blue_specific,,the image where there is it has a cube (i.e. the most cube-shaped body) for a body with a point sticking out pointing towards the right,,large cube,Blue square with diamond head.,0.5069285035133362,nan,0.3770483136177063,nan,5
a99af893-2783-44b3-bd0b-79a6b58aa84d,1,a,30,3,2,social,J,I,blue_specific,,"the one that looks like a standing person with one leg on the ground and one sticking out to the right, and two triangles pointing left",,yoga guy,man prayingz,0.33411264419555664,nan,0.40870434045791626,nan,2
