subject_id,item_id,counterbalance,trial_num,n_blue,n_naive,goal,previous_selection,selected_tangram,selected_tangram_group,written_label
67171fa93cd108b6c2b59e4e,0,a,0,0,4,refer,,C,A,Laid back arms wide open
67171fa93cd108b6c2b59e4e,0,a,1,2,4,refer,C,G,B,Looks like praying mantis
67171fa93cd108b6c2b59e4e,0,a,2,1,1,social,G,E,B,Facing right 2 triangle head
67171fa93cd108b6c2b59e4e,0,a,3,2,8,social,E,D,A,Facing left holding bucket
67171fa93cd108b6c2b59e4e,0,a,4,3,8,refer,D,I,C,Kicking to right side
67171fa93cd108b6c2b59e4e,0,a,5,3,8,social,I,H,B,No limbs
67171fa93cd108b6c2b59e4e,0,a,6,2,0,refer,H,B,A,On knees arms outstretcched
67171fa93cd108b6c2b59e4e,0,a,7,1,16,social,B,A,A,Facing right leg up in back
67171fa93cd108b6c2b59e4e,0,a,8,2,1,social,A,J,C,Almost no limbs block body
67171fa93cd108b6c2b59e4e,0,a,9,4,4,refer,J,K,C,Woman kneeling triangle on right hand
67171fa93cd108b6c2b59e4e,0,a,10,1,2,social,K,L,C,Man kneeling 6o right triangle hand
67171fa93cd108b6c2b59e4e,0,a,11,4,8,refer,L,C,A,Falling backwards. Arms out
67171fa93cd108b6c2b59e4e,0,a,12,3,0,refer,C,H,B,Sitting no limbs
67171fa93cd108b6c2b59e4e,0,a,13,3,4,social,H,I,C,Kicking to right
67171fa93cd108b6c2b59e4e,0,a,14,1,16,refer,I,H,B,Sitting no limbs
67171fa93cd108b6c2b59e4e,0,a,15,4,0,social,H,J,C,Squatting square body
67171fa93cd108b6c2b59e4e,0,a,16,4,16,refer,J,A,A,Head to right back leg up
67171fa93cd108b6c2b59e4e,0,a,17,3,1,refer,A,B,A,Facing right on knees flying triangle arms
67171fa93cd108b6c2b59e4e,0,a,18,3,16,refer,B,F,B,Sitting to left taking nap
67171fa93cd108b6c2b59e4e,0,a,19,0,1,refer,F,D,A,Facing left holding bucker
67171fa93cd108b6c2b59e4e,0,a,20,2,2,social,D,K,C,Woman facing right begging
67171fa93cd108b6c2b59e4e,0,a,21,1,2,refer,K,L,C,Man to right begging
67171fa93cd108b6c2b59e4e,0,a,22,2,8,refer,L,G,B,Praying maantis
67171fa93cd108b6c2b59e4e,0,a,23,1,8,refer,G,C,A,Falling hackwards
67171fa93cd108b6c2b59e4e,0,a,24,2,1,refer,C,I,C,Karate kick
67171fa93cd108b6c2b59e4e,0,a,25,3,4,refer,I,D,A,To left holding bucket
67171fa93cd108b6c2b59e4e,0,a,26,4,2,refer,D,F,B,Man sleeping to left
67171fa93cd108b6c2b59e4e,0,a,27,4,2,social,F,E,B,Biggest triangle body
67171fa93cd108b6c2b59e4e,0,a,28,2,2,refer,E,C,A,Man falling backwards
67171fa93cd108b6c2b59e4e,0,a,29,2,0,social,C,D,A,Facing left holding bucket
67171fa93cd108b6c2b59e4e,0,a,30,4,1,social,D,B,A,Facing right on knees flying
