subject_id,understood,age,gender,feedback,comments
a27baa92-8753-4893-be46-e69b5a710764,yes,28,female,it was annoying I couldn't see all of the teams chats if it went off the page if I didn't read it fast enough in the video.,no
7680f143-582f-4874-a1c5-846eca6d9256,yes,33,male,"Everything was fine, I had no issues.",Thank you so much for this fun survey!
51de4ab2-6711-497f-8b78-7cee710683d6,yes,35,female,,
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,yes,31,female,,
f7e88105-89e1-48d7-b7e1-f42ef012a526,yes,52,male,,
299ff07b-2f82-43d8-a234-81eb0e513b68,yes,51,male,"Maybe give us a heads up that we will be comparing the difference in how the two groups describe the shapes specifically. I was focused on the differences of the pictures, not the groups.","The instructions could be a little more clear.
I quite enjoyed the study please keep me in mind for future research THANK YOU 60461ebcb6a36e04513f1ee9"
f287050c-25ca-4e1a-b1d0-3c61ecdcca4d,yes,30,female,,
633c94cc-ec4c-4ab5-b6f8-e575e636b399,yes,21,male,,
ff055cb0-25aa-44ab-bb16-be4a3884291b,yes,29,male,"It is a good study that requires concentration to understand the game. But when understood, it is easy","No, thank you"
9c7058af-cd59-47ce-a3b7-3c52450a96ab,yes,29,female,"This was a fun experiment. It took me a while to start distinguishing the red vs blue responses, but overall, really enjoyed!",
