subject_id,item_id,counterbalance,n_ingroup,n_outgroup,goal,tangram,response.earlier
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,2,1,social,A,later
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,0,1,refer,C,later
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,2,0,social,A,later
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,4,16,social,H,earlier
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,2,16,social,L,earlier
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,3,8,refer,B,earlier
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,1,8,social,L,later
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,2,16,refer,L,later
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,4,0,social,D,later
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,2,2,refer,B,earlier
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,1,4,refer,D,earlier
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,3,4,refer,H,earlier
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,3,4,social,H,later
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,3,1,refer,C,later
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,3,16,refer,C,earlier
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,3,2,social,D,earlier
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,4,4,refer,D,earlier
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,4,1,refer,D,later
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,1,2,social,C,later
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,3,0,social,L,later
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,3,16,social,C,later
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,4,0,refer,D,later
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,4,2,social,A,later
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,1,8,refer,L,later
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,4,4,social,D,earlier
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,3,0,refer,L,later
e8aac399-7a2c-4811-bd86-bb8aced22117,0,a,1,0,refer,B,later
